Site_ID,Serial_No,Object_No,Item,File,Caption,Display_Order,As_found,Estimated_Original,Notes
M099,678,M099D01,Doorframe,detail_assets/stone_objects/AI_678.jpg,Doorframe,2,"South-west side of M.99, Trapang Srortei",M.99,
M099,679,M099L01,Lintel,detail_assets/stone_objects/AI_679.jpg,Lintel,3,"South-east of M.99, Trapang Srortei",M.99,
M099,680,M099P01,Pedestal,detail_assets/stone_objects/AI_680.jpg,Pedestal,4,"East side of M.99, Trapang Srortei",M.99,
M099,681,M099P02,Pedestal,detail_assets/stone_objects/AI_681.jpg,Pedestal,5,"East side of M.99, Trapang Srortei",M.99,
M099,682,M099P03,Pedestal,detail_assets/stone_objects/AI_682.jpg,Pedestal,6,"East side of M.99, Trapang Srortei",M.99,
M099,683,M099P04,Pedestal,detail_assets/stone_objects/AI_683.jpg,Pedestal,7,"East side of M.99, Trapang Srortei",M.99,
M099,684,M099P05,Pedestal,detail_assets/stone_objects/AI_684.jpg,Pedestal,8,"East side of M.99, Trapang Srortei",M.99,
M099,685,M099P06,Pedestal,detail_assets/stone_objects/AI_685.jpg,Pedestal,9,"East side of M.99, Trapang Srortei",M.99,
M100,686,M100M01,Moonstone,detail_assets/stone_objects/AI_686.jpg,Moonstone,1,"East side of M100, Sratech",M.100,
M100,687,M100M02,Moonstone,detail_assets/stone_objects/AI_687.jpg,Moonstone,2,"South-east of M100, Sratech",M.100,
M101,688,M101K01,Grinding stone,detail_assets/stone_objects/AI_688.jpg,Grinding stone,1,"South side of M101, Rantah Panh",M.101,
M101,689,M101P01,Pedestal,detail_assets/stone_objects/AI_689.jpg,Pedestal,2,"East side of M101, Rantah Panh",M.101,
M101,690,M101U01,Unknown,detail_assets/stone_objects/AI_690.jpg,Unknown,3,"South side of M101, Rantah Panh",M.101,
M103,691,M103D01,Doorframe,detail_assets/stone_objects/AI_691.jpg,Doorframe,2,South-east of M103 (central); Khnach Tol,Unknown,
M103,692,M103F01,Finial,detail_assets/stone_objects/AI_692.jpg,Finial,3,In the pit of M103 (north); Khnach Tol,Unknown,
M103,693,M103F02,Unknown,detail_assets/stone_objects/AI_693.jpg,Unknown,4,East side of M103 (central); Khnach Tol,Unknown,
M103,694,M103M01,Moonstone,detail_assets/stone_objects/AI_694.jpg,Moonstone,5,East side of M103 (central); Khnach Tol,Unknown,
M103,695,M103M02,Moonstone,detail_assets/stone_objects/AI_695.jpg,Moonstone,6,East side of M103 (south); Khnach Tol,Unknown,
M103,696,M103P01,Pedestal,detail_assets/stone_objects/AI_696.jpg,Pedestal,7,In the pit of M103 (south); Khnach Tol,Unknown,
M103,697,M103P02,Pedestal,detail_assets/stone_objects/AI_697.jpg,Pedestal,8,In the pit of M103 (south); Khnach Tol,Unknown,
M103,698,M103S01,Step,detail_assets/stone_objects/AI_698.jpg,Step,9,East side of M103 (south); Khnach Tol,Unknown,
M103,699,M103U01,Unknown,detail_assets/stone_objects/AI_699.jpg,Unknown,10,In the pit of M103 (north); Khnach Tol,Unknown,
M103,700,M103U02,Unknown,detail_assets/stone_objects/AI_700.jpg,Unknown,11,East side of M103 (central); Khnach Tol,Unknown,
M103,701,M103U03,Unknown,detail_assets/stone_objects/AI_701.jpg,Unknown,12,East side of M103 (central); Khnach Tol,Unknown,
M104,702,M104D01,Doorframe,detail_assets/stone_objects/AI_702.jpg,Doorframe,1,North side of M104-1,Unknown,
M104,703,M104D02,Doorframe,detail_assets/stone_objects/AI_703.jpg,Doorframe,2,North-west side of M104-1,Unknown,
M104,704,M104M01,Moonstone,detail_assets/stone_objects/AI_704.jpg,Moonstone,3,North-east side of M104-1,Unknown,
M104,705,M104M02,Moonstone,detail_assets/stone_objects/AI_705.jpg,Moonstone,4,East side of M104-2,Unknown,
M104,706,M104P01,Pedestal,detail_assets/stone_objects/AI_706.jpg,Pedestal,5,West side of M104-1,Unknown,
M104,707,M104P02,Pedestal,detail_assets/stone_objects/AI_707.jpg,Pedestal,6,East side of M104-6,Unknown,
M104,708,M104S01,Step,detail_assets/stone_objects/AI_708.jpg,Step,7,North side of M104-1,Unknown,
M104,709,M104U01,Unknown,detail_assets/stone_objects/AI_709.jpg,Unknown,8,In the pit of M104-1,M.104,
M104,710,M104U02,Unknown,detail_assets/stone_objects/AI_710.jpg,Unknown,9,In the pit of M104-1,Unknown,
M104,711,M104U03,Unknown,detail_assets/stone_objects/AI_711.jpg,Unknown,10,In the pit of M104-1,Unknown,
M104,712,M104U04,Unknown,detail_assets/stone_objects/AI_712.jpg,Unknown,11,South side of M104-1,Unknown,
M104,713,M104U05,Unknown,detail_assets/stone_objects/AI_713.jpg,Unknown,12,North side of M104-2,Unknown,
M104,714,M104U06,Unknown,detail_assets/stone_objects/AI_714.jpg,Unknown,13,South side of M104-1,Unknown,
M104,715,M104U07,Unknown,detail_assets/stone_objects/AI_715.jpg,Unknown,14,South side of M104-1,Unknown,
M104,716,M104U08,Unknown,detail_assets/stone_objects/AI_716.jpg,Unknown,15,South east of M104-1,Unknown,
M108,717,M108P01,Pedestal,detail_assets/stone_objects/AI_717.jpg,Pedestal,1,South-west in the pit of M108,M.108,
M108,718,M108U01,Unknown,detail_assets/stone_objects/AI_718.jpg,Unknown,2,East side of M108,M.108,
M108,719,M108U02,Unknown,detail_assets/stone_objects/AI_719.jpg,Unknown,3,North-west of M108,M.108,
M108,720,M108U03,Unknown,detail_assets/stone_objects/AI_720.jpg,Unknown,4,West side of M108,M.108,
M109,721,M109U01,Unknown,detail_assets/stone_objects/AI_721.jpg,Unknown,2,"East side of M109, Toek Sampoch",M.109,
M112,722,M112E01,Base of colonette,detail_assets/stone_objects/AI_722.jpg,Base of colonette,1,"East side of M112, Prasat Prohout",M.112,
M112,723,M112P01,Pedestal,detail_assets/stone_objects/AI_723.jpg,Pedestal,2,"East side of M112, Prasat Prohout",M.112,
M112,724,M112U01,Unknown,detail_assets/stone_objects/AI_724.jpg,Unknown,3,"South-east of M112, Prasat Prohout",M.112,
M112,725,M112U02,Unknown,detail_assets/stone_objects/AI_725.jpg,Unknown,4,"South-east of M112, Prasat Prohout",M.112,
M112,726,M112U03,Unknown,detail_assets/stone_objects/AI_726.jpg,Unknown,5,"South-east of M112, Prasat Prohout",M.112,
